"","year","forest_pa","forest_cfm","forest_pa_sq_km","forest_cfm_sq_km"
"1",2000,1481069.10987854,623412.801898099,11996659.7900162,5049643.69537461
"2",2001,1478840.25672913,622042.781403638,11978606.0795059,5038546.52936947
"3",2002,1476905.75276184,618968.106061079,11962936.5973709,5013641.65909474
"4",2003,1475990.32173157,613031.567656614,11955521.6060257,4965555.69801857
"5",2004,1474213.30912018,611311.222551443,11941127.8038734,4951620.90266669
"6",2005,1472813.78580475,607898.55507765,11929791.6650185,4923978.29612896
"7",2006,1471630.83551788,600318.322005846,11920209.7676949,4862578.40824735
"8",2007,1466653.52190399,594890.183791734,11879893.5274223,4818610.48871305
"9",2008,1464807.73149872,590316.788643457,11864942.6251396,4781565.988012
"10",2009,1463001.25245667,586280.19719658,11850310.144899,4748869.5972923
"11",2010,1458499.93661499,580573.279429533,11813849.4865814,4702643.56337921
"12",2011,1454501.64498901,575828.904212095,11781463.324411,4664214.12411797
"13",2012,1450229.91726685,572108.813999273,11746862.3298614,4634081.39339411
"14",2013,1445541.16586304,565659.785043813,11708883.4434906,4581844.25885489
"15",2014,1435708.42581177,551543.381075777,11629238.2490753,4467501.38671379
"16",2015,1429781.78440094,540215.144462146,11581232.4536476,4375742.67014338
"17",2016,1420744.34964752,529475.300716974,11508029.2321449,4288749.93580749
"18",2017,1406906.32859039,509543.304670777,11395941.2615822,4127300.76783329
